Description,Amount,Tax Classification
Freelance Web Design,2344,Taxable
Office Rent,7577,Non-Taxable
Gift from Friend,3263,Taxable
Business Consultation,9379,Taxable
Loan from Bank,8026,Taxable
Software Development Contract,5797,Non-Taxable
Marketing Services,9429,Non-Taxable
Monthly Subscription Fee,3586,Taxable
Dividend Income,8965,Taxable
Stock Market Investment,5169,Taxable
Selling Old Equipment,3212,Taxable
Consulting Fee,5617,Taxable
Legal Services,8923,Non-Taxable
Graphic Design Work,7829,Non-Taxable
Website Maintenance,2539,Taxable
Online Course Sales,6069,Taxable
Personal Loan Received,9284,Non-Taxable
Sponsorship Revenue,4306,Non-Taxable
Tax Refund,5252,Non-Taxable
Insurance Claim Payout,6861,Taxable
Social Media Management,2526,Taxable
Medical Bill Reimbursement,9399,Non-Taxable
Property Sale Profit,7794,Non-Taxable
Government Grant,3267,Non-Taxable
Crowdfunding Income,5134,Taxable
Ad Revenue from Blog,6707,Taxable
Affiliate Marketing Income,1329,Taxable
Selling Digital Products,9955,Non-Taxable
E-commerce Product Sale,4644,Taxable
Mobile App Development,3616,Taxable
Book Royalties,8234,Taxable
Commission from Sales,4043,Taxable
Investment in Startup,1820,Taxable
Reselling Used Goods,9621,Taxable
Music Streaming Earnings,6277,Non-Taxable
Charity Donation Received,47,Taxable
Photography Services,3342,Taxable
Rental Property Income,7776,Taxable
Tech Support Services,5208,Taxable
Business Conference Ticket Sale,6810,Taxable
Fundraising Event Proceeds,4471,Taxable
Freelance Writing,9470,Taxable
Dropshipping Profits,400,Taxable
Influencer Sponsorship,7750,Non-Taxable
YouTube Ad Revenue,5530,Non-Taxable
Data Entry Work,7857,Non-Taxable
Online Coaching Services,6349,Non-Taxable
Financial Consulting,8723,Non-Taxable
Online Marketplace Sale,4885,Non-Taxable
Software Licensing Fee,2943,Non-Taxable
Earnings from Podcast,9919,Non-Taxable
Domain Name Sale,1486,Non-Taxable
Car Resale Profit,7011,Taxable
Social Media Ad Campaign,9589,Taxable
Online Membership Fee,7267,Taxable
Product Licensing Fee,7002,Non-Taxable
Crowdsourced Research Payment,377,Taxable
Crypto Trading Profit,4748,Taxable
Webinar Ticket Sales,1046,Taxable
SEO Consulting Fee,3844,Taxable
Course Enrollment Fee,6809,Non-Taxable
Real Estate Commission,789,Taxable
IT Infrastructure Consulting,1252,Taxable
Digital Art Sale,675,Non-Taxable
Game Development Revenue,9595,Taxable
Investment Property Profit,214,Taxable
Tutoring Services,6066,Non-Taxable
Online Survey Payment,3926,Taxable
Dividend from Mutual Fund,5659,Non-Taxable
Resale of Collectibles,6239,Taxable
Tech Gadget Resale,111,Taxable
Stock Options Exercised,3980,Non-Taxable
Wedding Photography Service,6027,Taxable
Donation from Family,7988,Non-Taxable
Patent Royalty Income,1441,Non-Taxable
Salary Advance,6379,Non-Taxable
Copyright Licensing Fee,303,Non-Taxable
Freelance Translation Work,448,Non-Taxable
Selling Antique Furniture,9731,Taxable
Handmade Craft Sales,7453,Taxable
Private Equity Return,370,Taxable
Reselling Concert Tickets,331,Non-Taxable
Commission from Artwork,5385,Non-Taxable
Mobile App Subscription Revenue,2127,Taxable
Drop Servicing Profit,9242,Non-Taxable
Ebook Sales,8346,Taxable
Independent Movie Revenue,8179,Taxable
Vehicle Lease Income,3046,Taxable
Intellectual Property Sale,2182,Taxable
Payout from Lawsuit Settlement,3147,Non-Taxable
Non-Profit Fund Allocation,2086,Taxable
Charity Auction Revenue,752,Non-Taxable
Influencer Affiliate Earnings,1824,Taxable
Retirement Pension Withdrawal,1135,Non-Taxable
Startup Incubator Grant,6198,Non-Taxable
Investment in Crowdfunded Project,8315,Taxable
Salary from Remote Job,4409,Taxable
Crypto Mining Earnings,2958,Non-Taxable
Real Estate Flip Profit,2211,Non-Taxable
Consulting for Government,4945,Non-Taxable
Writing Sponsored Articles,802,Taxable
Stock Market Day Trading,8751,Non-Taxable
Bicycle Rental Income,8695,Taxable
Merchandise Sales,1277,Non-Taxable
Online Classified Sales,740,Non-Taxable
Custom Software Development,7577,Taxable
Investment Banking Fee,6618,Taxable
Agricultural Product Sales,7337,Taxable
Voiceover Services,8629,Non-Taxable
Luxury Car Rental Income,1919,Non-Taxable
Fine Art Sales,4251,Non-Taxable
Legal Settlement Payout,1969,Taxable
Cryptocurrency Airdrop Earnings,3154,Taxable
Security Deposit Refund,9445,Non-Taxable
Personal Savings Withdrawal,7783,Taxable
Rebate from Wholesale Purchase,3770,Taxable
Construction Project Income,7537,Non-Taxable
Jewelry Sales,8291,Non-Taxable
Sports Coaching Fee,6571,Taxable
Estate Sale Profit,4586,Non-Taxable
Used Appliance Resale,6692,Taxable
Membership Program Fee,9959,Taxable
Import-Export Business Revenue,1150,Taxable
Subscription Box Sales,1479,Non-Taxable
Independent Fashion Design Earnings,3567,Taxable
Photography Workshop Fees,6169,Taxable
Online Advertising Revenue,2827,Taxable
Home Renovation Project Income,2815,Non-Taxable
Exhibition Entry Fees,1591,Non-Taxable
Stock Dividend Reinvestment,5254,Non-Taxable
Partnership Profit Sharing,6736,Non-Taxable
Financial Aid from Government,6564,Taxable
Private Tutoring Earnings,7835,Non-Taxable
Social Media Content Monetization,3934,Taxable
Mobile Game In-App Purchases,8852,Non-Taxable
Reselling Sneakers,1806,Non-Taxable
Luxury Watch Flipping,1983,Taxable
Online Webinar Sponsorship,7083,Taxable
NFT Art Sale,435,Non-Taxable
Digital Marketing Services,3094,Non-Taxable
Influencer Brand Deals,9286,Non-Taxable
Career Coaching Fees,8700,Non-Taxable
Pet Training Services,4969,Taxable
Coding Bootcamp Revenue,9562,Non-Taxable
Real Estate Brokerage Commission,5386,Non-Taxable
Franchise Business Earnings,5928,Non-Taxable
Business Expansion Loan,8027,Taxable
Revenue from Online Fundraising,8165,Non-Taxable
Independent Music Sales,3804,Taxable
Grant from Research Institution,4202,Taxable
Data Analytics Consulting,6292,Non-Taxable
Home Staging Services,2979,Taxable
Freelance Copywriting Income,781,Taxable
Investment in Art Collection,6201,Taxable
Commercial Video Production,3932,Taxable
Dropshipping Store Revenue,4680,Taxable
Social Media Advertising Income,170,Non-Taxable
Online Jewelry Store Sales,8344,Non-Taxable
Partnership Buyout Earnings,8942,Non-Taxable
Digital Illustration Commission,7293,Non-Taxable
Mobile Photography Earnings,1005,Non-Taxable
Remote IT Support Services,8703,Non-Taxable
Website SEO Optimization Fee,3154,Taxable
Car Rental Fleet Income,1713,Non-Taxable
Corporate Training Sessions,1028,Non-Taxable
User Interface Design Services,3667,Non-Taxable
Stock Photography Sales,8375,Non-Taxable
UX Research Consulting,8633,Taxable
Venture Capital Investment Returns,8714,Taxable
Business Exit Strategy Payout,2670,Non-Taxable
International Trade Consulting,1153,Non-Taxable
AI Model Licensing Fees,9727,Non-Taxable
Podcast Subscription Revenue,9718,Non-Taxable
Crowdsourcing Platform Earnings,1599,Non-Taxable
Agricultural Technology Sales,7553,Taxable
Personal Financial Planning,6981,Taxable
Investment in Green Energy Projects,6409,Non-Taxable
Revenue from Online Debate Platform,2665,Non-Taxable
